Date,Price,Open,High,Low,Change %
Jan 89,1.7770,1.7770,1.7770,1.7770,0.98%
Dec 88,1.7597,1.7597,1.7597,1.7597,1.24%
Nov 88,1.7382,1.7382,1.7382,1.7382,-0.45%
Oct 88,1.7461,1.7461,1.7461,1.7461,-0.49%
Sep 88,1.7547,1.7547,1.7547,1.7547,0.18%
Aug 88,1.7515,1.7515,1.7515,1.7515,1.02%
Jul 88,1.7339,1.7339,1.7339,1.7339,0.85%
Jun 88,1.7193,1.7193,1.7193,1.7193,-1.01%
May 88,1.7368,1.7368,1.7368,1.7368,0.61%
Apr 88,1.7263,1.7263,1.7263,1.7263,1.04%
Mar 88,1.7085,1.7085,1.7085,1.7085,0.49%
Feb 88,1.7002,1.7002,1.7002,1.7002,1.19%
Jan 88,1.6802,1.6802,1.6802,1.6802,1.04%
Dec 87,1.6629,1.6629,1.6629,1.6629,-1.59%
Nov 87,1.6898,1.6898,1.6898,1.6898,-1.31%
Oct 87,1.7122,1.7122,1.7122,1.7122,-0.98%
Sep 87,1.7292,1.7292,1.7292,1.7292,1.18%
Aug 87,1.7090,1.7090,1.7090,1.7090,-0.41%
Jul 87,1.7160,1.7160,1.7160,1.7160,-0.14%
Jun 87,1.7184,1.7184,1.7184,1.7184,0.13%
May 87,1.7162,1.7162,1.7162,1.7162,0.85%
Apr 87,1.7018,1.7018,1.7018,1.7018,-1.65%
Mar 87,1.7303,1.7303,1.7303,1.7303,-0.42%
Feb 87,1.7376,1.7376,1.7376,1.7376,0.03%
Jan 87,1.7370,1.7370,1.7370,1.7370,-0.45%
Dec 86,1.7448,1.7448,1.7448,1.7448,0.76%
Nov 86,1.7317,1.7317,1.7317,1.7317,0.43%
Oct 86,1.7242,1.7242,1.7242,1.7242,1.98%
Sep 86,1.6908,1.6908,1.6908,1.6908,-0.25%
Aug 86,1.6950,1.6950,1.6950,1.6950,0.08%
Jul 86,1.6936,1.6936,1.6936,1.6936,-4.07%
Jun 86,1.7654,1.7654,1.7654,1.7654,-1.24%
May 86,1.7875,1.7875,1.7875,1.7875,-0.79%
Apr 86,1.8018,1.8018,1.8018,1.8018,-0.85%
Mar 86,1.8173,1.8173,1.8173,1.8173,-1.22%
Feb 86,1.8397,1.8397,1.8397,1.8397,-0.20%
Jan 86,1.8433,1.8433,1.8433,1.8433,0.52%
Dec 85,1.8338,1.8338,1.8338,1.8338,1.37%
Nov 85,1.8090,1.8090,1.8090,1.8090,0.29%
Oct 85,1.8038,1.8038,1.8038,1.8038,0.42%
Sep 85,1.7962,1.7962,1.7962,1.7962,-0.86%
